0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:43:39 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=asc HTTP/1.1" 200 1419
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:43:40 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=asc HTTP/1.1" 200 1419
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:44:48 +0530] "GET /webTestEmp/depts HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:44:53 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:44:53 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:44:55 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:44:56 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:44:58 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=asc HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:45:00 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=dsc HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:45:00 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=dsc HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:45:02 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=asc HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:45:03 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=dsc HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:45:04 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:45:06 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=dsc HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:45:07 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1282
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:45:08 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:45:09 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:45:10 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=dsc HTTP/1.1" 200 1443
